  0%|                                                                                                                                                              | 0/459 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
                                                                                                                                                                                           
{'loss': 3.8616, 'grad_norm': 4.4314188957214355, 'learning_rate': 1.8e-05, 'epoch': 0.07}
{'loss': 1.1259, 'grad_norm': 2.0383713245391846, 'learning_rate': 7.855153203342619e-05, 'epoch': 2.09}
{'loss': 1.1264, 'grad_norm': 2.757432699203491, 'learning_rate': 7.298050139275766e-05, 'epoch': 2.16}
{'loss': 1.1877, 'grad_norm': 2.6998374462127686, 'learning_rate': 6.740947075208914e-05, 'epoch': 2.22}
{'loss': 1.0209, 'grad_norm': 2.7453408241271973, 'learning_rate': 6.183844011142061e-05, 'epoch': 2.29}
{'loss': 1.0083, 'grad_norm': 2.187870979309082, 'learning_rate': 5.62674094707521e-05, 'epoch': 2.35}
{'loss': 1.027, 'grad_norm': 2.5488152503967285, 'learning_rate': 5.069637883008357e-05, 'epoch': 2.42}
{'loss': 0.9876, 'grad_norm': 2.6072747707366943, 'learning_rate': 4.5125348189415044e-05, 'epoch': 2.49}
{'loss': 1.1305, 'grad_norm': 2.667116641998291, 'learning_rate': 3.955431754874652e-05, 'epoch': 2.55}
{'loss': 0.9578, 'grad_norm': 2.228792428970337, 'learning_rate': 3.3983286908077994e-05, 'epoch': 2.62}
{'loss': 1.0259, 'grad_norm': 2.037647247314453, 'learning_rate': 2.841225626740947e-05, 'epoch': 2.68}
{'loss': 0.9857, 'grad_norm': 2.207571506500244, 'learning_rate': 2.2841225626740948e-05, 'epoch': 2.75}
{'loss': 0.9653, 'grad_norm': 2.733941078186035, 'learning_rate': 1.7270194986072426e-05, 'epoch': 2.81}
{'loss': 0.9957, 'grad_norm': 2.618288278579712, 'learning_rate': 1.16991643454039e-05, 'epoch': 2.88}
{'loss': 1.0112, 'grad_norm': 2.4277560710906982, 'learning_rate': 6.128133704735376e-06, 'epoch': 2.95}
{'train_runtime': 1245.1986, 'train_samples_per_second': 2.934, 'train_steps_per_second': 0.369, 'train_loss': 1.6163542130414177, 'epoch': 3.0}
Saving model to ./qwen_law_assistant...
Fine-tuning completed!
Fine-tuning completed! Model saved to: ./qwen_law_assistant

=== Pipeline completed! ===
